Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-WI,WI-2,813200,726250,58627500,1420425,5414800,18735000,5421000,241447500,3142700,3445500,7663500,633950
US,US-WI,WI-3,592100,529850,42716500,1036350,3953200,13704000,3955000,176632500,2297000,2517750,5595750,462400
US,US-WI,WI-4,782700,701400,56620750,1371850,5239900,18172000,5236000,235027500,3047100,3335100,7427250,612400
US,US-WI,WI-5,605900,542050,43735750,1060200,4045700,14028000,4046500,180810000,2351100,2575200,5729250,473300
US,US-WI,WI-6,596900,532550,43029500,1041600,3972000,13767000,3975000,177067500,2307300,2526600,5619750,465700
US,US-WI,WI-7,501300,448650,36156250,877475,3346900,11592000,3349000,149580000,1944200,2130900,4737000,391400
US,US-WI,WI-8,613600,547450,44378500,1070725,4083800,14172000,4086000,182115000,2374200,2596275,5769750,478500
US,US-WV,WV-1,425600,374600,30606500,732650,2786600,9658000,2795000,122842500,1616100,1761975,3927750,329950
US,US-WV,WV-2,500700,440850,36036750,862225,3279900,11370000,3289500,144502500,1902200,2073450,4618500,388150
US,US-WV,WV-3,435300,382800,31354500,748675,2847000,9870000,2856000,125130000,1651100,1797600,4002750,336950
US,US-WY,WY-AT LARGE,273700,243800,19542000,476875,1815300,6284000,1820000,80512500,1053000,1154400,2570250,214050
