Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-CA,CA-42,376200,338800,27063250,662625,2526600,8696000,2530000,113137500,1462500,1615650,3582000,293450
US,US-CA,CA-43,1128300,1018300,80877750,1991625,7587400,25970000,7606000,340162500,4379100,4861875,10762500,876000
US,US-CA,CA-44,355800,320800,25539500,627450,2391400,8200000,2396000,107152500,1380900,1530675,3390750,276650
US,US-CA,CA-45,1368300,1210250,98777250,2367075,9004100,31101000,9033000,397627500,5211400,5702550,12696000,1060000
US,US-CA,CA-46,467700,416100,33681500,813850,3098800,10669000,3106500,137700000,1792300,1970850,4378500,362600
US,US-CA,CA-47,465300,418100,33453250,817750,3116700,10731000,3122000,139335000,1803600,1991775,4418250,362600
US,US-CA,CA-48,1054600,935250,76281750,1829250,6961900,24052000,6981000,308130000,4032800,4415475,9815250,817600
US,US-CA,CA-49,715600,640250,51622500,1252225,4770400,16450000,4780000,212505000,2762300,3039975,6749250,557100
US,US-CA,CA-5,444400,400700,31918250,783725,2987900,10271000,2992500,133927500,1728500,1912125,4240500,346600
US,US-CA,CA-50,506100,456150,36419250,892125,3401500,11681000,3406500,152415000,1967300,2175300,4821000,394250
US,US-CA,CA-51,452800,407950,32480000,797875,3039900,10427000,3047000,136072500,1755400,1945575,4309500,351950
US,US-CA,CA-52,682500,614800,49028000,1202450,4582900,15746000,4591500,205192500,2650000,2932350,6500250,531700
US,US-CA,CA-53,552800,498250,39674000,974500,3713600,12742000,3721500,166297500,2145800,2376825,5266500,430100
US,US-CA,CA-6,847400,762950,60769500,1492200,5686100,19539000,5697500,254482500,3287400,3636600,8064750,660400
US,US-CA,CA-7,476100,426000,34325000,833150,3174700,10942000,3180500,141660000,1838500,2025075,4494750,370500
US,US-CA,CA-8,470900,424000,33882250,829300,3162400,10887000,3166500,141630000,1830500,2022225,4484250,367200
US,US-CA,CA-9,396400,357250,28480250,698750,2663600,9145000,2668000,119377500,1539600,1704300,3776250,308450
US,US-CO,CO-1,1824500,1637550,131039500,3202725,12197700,41921000,12228500,544477500,7047700,7788750,17282250,1416600
US,US-CO,CO-2,708900,636900,50961500,1245650,4747100,16346000,4755500,212122500,2747800,3031650,6729000,552500
US,US-CO,CO-3,516200,463250,37139000,906100,3452800,11897000,3459000,154215000,1998900,2203725,4892250,402050
US,US-CO,CO-4,580700,521200,41761250,1019375,3885300,13386000,3891500,173632500,2249100,2480175,5504250,452050
US,US-CO,CO-5,564900,507900,40603250,993400,3786500,13039000,3792500,169395000,2191600,2418975,5369250,440400
US,US-CO,CO-6,966700,857750,69876750,1677675,6388000,22046000,6403000,283470000,3698800,4054575,9020250,749400
US,US-CO,CO-7,553400,495550,39880500,969175,3693300,12732000,3700000,164685000,2138700,2353875,5226000,430650
US,US-CT,CT-1,330000,296300,23714500,579575,2209500,7643000,2212500,98670000,1281800,1410975,3136500,258650
US,US-CT,CT-2,299400,268850,21519750,525850,2005000,6935000,2007500,89565000,1163100,1280475,2845500,234500
US,US-CT,CT-3,294900,264500,21160000,517325,1971600,6814000,1975000,87930000,1142900,1258875,2796750,230650
US,US-CT,CT-4,379000,340050,27212750,665075,2534800,8751000,2539000,113152500,1468200,1618500,3594000,296000
US,US-CT,CT-5,290100,260250,20834500,508975,1940500,6714000,1943000,86647500,1125700,1238775,2751750,227000
US,US-DC,DC-AT LARGE,2020300,1807450,144359250,3535075,13453200,46318000,13496000,597945000,7776100,8591625,19076250,1570750
US,US-DE,DE-AT LARGE,468400,418650,33578500,818850,3122100,10815000,3125000,139102500,1811500,1988250,4425000,367000
US,US-FL,FL-1,556400,495500,40110500,969175,3691100,12780000,3698500,163725000,2140900,2344275,5213250,433750
US,US-FL,FL-10,1613700,1434400,116141500,2805525,10680000,36979000,10705500,473332500,6196800,6774975,15077250,1256500
US,US-FL,FL-11,630700,563250,45487250,1101650,4199400,14559000,4204500,186877500,2438700,2670450,5940000,492850
US,US-FL,FL-12,674100,601450,48658500,1176425,4484600,15547000,4489500,199492500,2604300,2850600,6339000,526350
US,US-FL,FL-13,638500,569900,45991250,1114700,4247700,14706000,4254500,188977500,2464600,2701500,6009000,498400
US,US-FL,FL-14,1111200,986700,79999750,1929900,7347000,25437000,7364500,325245000,4260900,4659975,10363500,864550
US,US-FL,FL-15,639600,570400,46222250,1115650,4253600,14750000,4257500,189187500,2470400,2702175,6008250,499550
US,US-FL,FL-16,760200,677900,54797750,1325900,5052500,17497000,5060000,224595000,2931900,3210600,7140750,593200
US,US-FL,FL-17,589100,524600,42297500,1026100,3909600,13544000,3915500,173715000,2268700,2482950,5527500,459650
US,US-FL,FL-18,783200,696350,56640000,1361975,5187700,17971000,5197500,229882500,3009600,3290475,7314750,609400
US,US-FL,FL-19,895500,800650,64659500,1566025,5971800,20680000,5977000,266235000,3466700,3799125,8446500,698850
US,US-FL,FL-2,459700,409750,33091250,801450,3053000,10564000,3058500,135637500,1770700,1940250,4317000,358550
US,US-FL,FL-20,444900,395400,32164750,773325,2945700,10202000,2951000,130575000,1708800,1868775,4154250,346200
US,US-FL,FL-21,664900,593850,48028500,1161475,4428300,15337000,4433000,197220000,2570400,2815725,6261750,519000
US,US-FL,FL-22,775700,692800,55979500,1355075,5165200,17879000,5172000,230025000,2997100,3285375,7305000,605350
US,US-FL,FL-23,686400,611900,49592000,1196800,4561700,15802000,4567500,202875000,2647800,2898675,6444000,535300
US,US-FL,FL-24,1280000,1137200,92452750,2224250,8465700,29288000,8488000,374887500,4908400,5370000,11938500,995150
US,US-FL,FL-25,847900,760500,62117500,1487500,5694900,19923000,5675500,256110000,3332100,3620250,8043000,667050
US,US-FL,FL-26,792800,699250,57550250,1367700,5205600,18053000,5218000,230025000,3020700,3293025,7325250,613750
US,US-FL,FL-27,1427000,1266350,103291750,2476875,9434400,32707000,9451000,417855000,5476600,5978400,13287750,1109850
US,US-FL,FL-3,685800,611800,49467250,1196600,4560000,15786000,4567000,202785000,2646200,2898375,6447000,535150
US,US-FL,FL-4,938700,836150,67789250,1635400,6229700,21572000,6241000,276435000,3614500,3955500,8797500,731650
US,US-FL,FL-5,337600,300400,24339000,587550,2237300,7739000,2242500,99202500,1296900,1420425,3159750,262900
US,US-FL,FL-6,953300,843900,68731750,1650600,6284200,21786000,6298000,277882500,3644800,3979350,8864250,741750
US,US-FL,FL-7,813400,723950,58650250,1416000,5394000,18684000,5403500,239407500,3129500,3425550,7620000,634500
US,US-FL,FL-8,717400,640550,51717500,1252800,4774400,16531000,4781500,212415000,2770300,3035700,6753000,560200
US,US-FL,FL-9,832300,741700,60165250,1450725,5532100,19197000,5536000,246150000,3214700,3513075,7814250,650000
US,US-GA,GA-1,317200,285350,22803250,558100,2128200,7342000,2130500,95220000,1233300,1359600,3016500,247750
US,US-GA,GA-10,292800,263800,21081250,515950,1968000,6782000,1970000,88177500,1140200,1257450,2789250,228750
US,US-GA,GA-11,347500,311850,25095250,609950,2325900,8034000,2328500,103845000,1348700,1482600,3289500,271300
US,US-GA,GA-12,262800,237000,18908500,463500,1768000,6088000,1769500,79282500,1024000,1130325,2506500,205250
US,US-GA,GA-13,522300,470450,37673500,920125,3511000,12127000,3512500,157372500,2036800,2242350,4974750,408750
US,US-GA,GA-14,278000,250600,20043500,490175,1870700,6457000,1871500,83947500,1084900,1195200,2651250,217400
US,US-GA,GA-2,264500,238150,19040250,465800,1776700,6125000,1778500,79590000,1029400,1134900,2517750,206600
